Execucao,Complete requests,Failed requests,Total transferred,HTML transferred,Requests per second,Time per request,Time per request concorrencia,Transfer rate
1, 10000,6,7298746,4789172,232.31,430.453,4.305,165.59
2, 10000,15,7296865,4787930,227.32,439.903,4.399,161.99
3, 10000,7,7298537,4789034,238.95,418.500,4.185,170.31
4, 10000,17,7296447,4787654,207.06,482.962,4.830,147.54
5, 10000,7,7298537,4789034,257.93,387.709,3.877,183.84
6, 10000,3,7299373,4789586,254.37,393.133,3.931,181.32
7, 10000,9,7298119,4788758,256.02,390.600,3.906,182.46
8, 10000,2,7299582,4789724,254.33,393.190,3.932,181.30
9, 10000,13,7297283,4788206,238.81,418.743,4.187,170.18
10, 10000,8,7298328,4788896,255.68,391.117,3.911,182.23
11, 10000,2,7299582,4789724,250.56,399.101,3.991,178.61
12, 10000,7,7298537,4789034,252.79,395.584,3.956,180.18
13, 10000,8,7298328,4788896,259.22,385.771,3.858,184.75
14, 10000,7,7298537,4789034,256.89,389.277,3.893,183.10
15, 10000,4,7299164,4789448,254.96,392.219,3.922,181.74
16, 10000,5,7298955,4789310,255.89,390.792,3.908,182.40
17, 10000,7,7298537,4789034,258.12,387.410,3.874,183.98
18, 10000,7,7298537,4789034,254.47,392.974,3.930,181.37
19, 10000,2,7299582,4789724,249.42,400.933,4.009,177.80
20, 10000,4,7299164,4789448,251.90,396.976,3.970,179.56
21, 10000,4,7299164,4789448,255.43,391.503,3.915,182.07
22, 10000,1,7299791,4789862,253.47,394.521,3.945,180.69
23, 10000,3,7299373,4789586,255.99,390.633,3.906,182.48
24, 10000,5,7298955,4789310,250.39,399.384,3.994,178.47
25, 10000,7,7298537,4789034,251.46,397.684,3.977,179.22
26, 10000,3,7299373,4789586,247.49,404.053,4.041,176.42
27, 10000,4,7299164,4789448,253.47,394.522,3.945,180.68
28, 10000,1,7299791,4789862,253.45,394.559,3.946,180.68
29, 10000,3,7299373,4789586,259.30,385.659,3.857,184.83
30, 10000,5,7298955,4789310,254.55,392.851,3.929,181.44
