Execucao,Complete requests,Failed requests,Total transferred,HTML transferred,Requests per second,Time per request,Time per request concorrencia,Transfer rate
1, 10000,0,7220000,4790000,212.68,470.182,4.702,149.96
2, 10000,0,7220000,4790000,242.01,413.205,4.132,170.64
3, 10000,0,7220000,4790000,240.46,415.870,4.159,169.54
4, 10000,0,7220000,4790000,245.17,407.877,4.079,172.87
5, 10000,0,7220000,4790000,242.56,412.268,4.123,171.02
6, 10000,0,7220000,4790000,247.04,404.791,4.048,174.18
7, 10000,0,7220000,4790000,244.68,408.705,4.087,172.52
8, 10000,0,7220000,4790000,244.29,409.356,4.094,172.24
9, 10000,0,7220000,4790000,245.80,406.828,4.068,173.31
10, 10000,0,7220000,4790000,244.79,408.510,4.085,172.60
11, 10000,0,7220000,4790000,246.80,405.184,4.052,174.01
12, 10000,0,7220000,4790000,242.23,412.836,4.128,170.79
13, 10000,0,7220000,4790000,226.63,441.243,4.412,159.79
14, 10000,0,7220000,4790000,244.38,409.201,4.092,172.31
15, 10000,0,7220000,4790000,244.77,408.550,4.086,172.58
16, 10000,0,7220000,4790000,244.96,408.223,4.082,172.72
17, 10000,0,7220000,4790000,246.59,405.529,4.055,173.87
18, 10000,0,7220000,4790000,246.67,405.397,4.054,173.92
19, 10000,0,7220000,4790000,245.83,406.781,4.068,173.33
20, 10000,0,7220000,4790000,244.05,409.752,4.098,172.07
21, 10000,0,7220000,4790000,246.68,405.391,4.054,173.93
22, 10000,0,7220000,4790000,244.83,408.449,4.084,172.62
23, 10000,0,7220000,4790000,245.58,407.202,4.072,173.15
24, 10000,0,7220000,4790000,245.10,407.992,4.080,172.82
25, 10000,0,7220000,4790000,246.34,405.945,4.059,173.69
26, 10000,0,7220000,4790000,244.85,408.418,4.084,172.64
27, 10000,0,7220000,4790000,245.38,407.529,4.075,173.01
28, 10000,0,7220000,4790000,245.55,407.245,4.072,173.13
29, 10000,0,7220000,4790000,244.04,409.773,4.098,172.07
30, 10000,0,7220000,4790000,247.23,404.476,4.045,174.32
