Execucao,Complete requests,Failed requests,Total transferred,HTML transferred,Requests per second,Time per request,Time per request concorrencia,Transfer rate
1, 10000,3,7299373,4789586,419.66,238.288,2.383,299.15
2, 10000,3,7299373,4789586,464.23,215.410,2.154,330.92
3, 10000,1,7299791,4789862,484.31,206.480,2.065,345.25
4, 10000,0,7300000,4790000,462.65,216.144,2.161,329.82
5, 10000,2,7299582,4789724,461.67,216.604,2.166,329.10
6, 10000,4,7299164,4789448,359.80,277.935,2.779,256.47
7, 10000,1,7299791,4789862,466.15,214.525,2.145,332.30
8, 10000,1,7299791,4789862,508.94,196.489,1.965,362.80
9, 10000,4,7299164,4789448,464.00,215.517,2.155,330.74
10, 10000,1,7299791,4789862,463.69,215.659,2.157,330.55
11, 10000,1,7299791,4789862,461.10,216.871,2.169,328.71
12, 10000,1,7299791,4789862,462.67,216.135,2.161,329.83
13, 10000,0,7300000,4790000,467.77,213.782,2.138,333.47
14, 10000,3,7299373,4789586,462.78,216.085,2.161,329.88
15, 10000,1,7299791,4789862,472.97,211.431,2.114,337.17
16, 10000,9,7298119,4788758,462.69,216.125,2.161,329.77
17, 10000,3,7299373,4789586,466.04,214.574,2.146,332.21
18, 10000,4,7299164,4789448,473.16,211.346,2.113,337.27
19, 10000,3,7299373,4789586,465.40,214.871,2.149,331.75
20, 10000,6,7298746,4789172,464.15,215.447,2.154,330.83
21, 10000,4,7299164,4789448,425.18,235.196,2.352,303.07
22, 10000,2,7299582,4789724,462.24,216.340,2.163,329.50
23, 10000,2,7299582,4789724,462.91,216.024,2.160,329.99
24, 10000,3,7299373,4789586,467.09,214.092,2.141,332.95
25, 10000,7,7298537,4789034,463.90,215.563,2.156,330.64
26, 10000,0,7300000,4790000,366.44,272.897,2.729,261.23
27, 10000,1,7299791,4789862,460.15,217.318,2.173,328.03
28, 10000,4,7299164,4789448,461.69,216.594,2.166,329.10
29, 10000,5,7298955,4789310,461.46,216.701,2.167,328.93
30, 10000,3,7299373,4789586,463.16,215.909,2.159,330.15
