Execucao,Complete requests,Failed requests,Total transferred,HTML transferred,Requests per second,Time per request,Time per request concorrencia,Transfer rate
1, 10000,0,7220000,4790000,391.71,255.290,2.553,276.19
2, 10000,0,7220000,4790000,399.32,250.423,2.504,281.55
3, 10000,0,7220000,4790000,380.86,262.562,2.626,268.54
4, 10000,0,7220000,4790000,458.00,218.342,2.183,322.92
5, 10000,0,7220000,4790000,356.29,280.671,2.807,251.21
6, 10000,0,7220000,4790000,434.92,229.928,2.299,306.65
7, 10000,0,7220000,4790000,391.91,255.162,2.552,276.33
8, 10000,0,7220000,4790000,392.74,254.624,2.546,276.91
9, 10000,0,7220000,4790000,430.09,232.512,2.325,303.24
10, 10000,0,7220000,4790000,357.73,279.538,2.795,252.23
11, 10000,0,7220000,4790000,428.72,233.252,2.333,302.28
12, 10000,0,7220000,4790000,393.79,253.943,2.539,277.65
13, 10000,0,7220000,4790000,392.93,254.499,2.545,277.05
14, 10000,0,7220000,4790000,441.67,226.412,2.264,311.41
15, 10000,0,7220000,4790000,364.96,274.006,2.740,257.32
16, 10000,0,7220000,4790000,430.41,232.336,2.323,303.47
17, 10000,0,7220000,4790000,395.56,252.804,2.528,278.90
18, 10000,0,7220000,4790000,399.48,250.326,2.503,281.66
19, 10000,0,7220000,4790000,434.21,230.304,2.303,306.15
20, 10000,0,7220000,4790000,360.52,277.381,2.774,254.19
21, 10000,0,7220000,4790000,420.52,237.800,2.378,296.50
22, 10000,0,7220000,4790000,392.78,254.593,2.546,276.94
23, 10000,0,7220000,4790000,392.89,254.525,2.545,277.02
24, 10000,0,7220000,4790000,434.05,230.388,2.304,306.04
25, 10000,0,7220000,4790000,364.31,274.493,2.745,256.87
26, 10000,0,7220000,4790000,414.36,241.335,2.413,292.16
27, 10000,0,7220000,4790000,383.27,260.914,2.609,270.23
28, 10000,0,7220000,4790000,392.72,254.633,2.546,276.90
29, 10000,0,7220000,4790000,432.38,231.280,2.313,304.86
30, 10000,0,7220000,4790000,375.55,266.275,2.663,264.79
