Execucao,Complete requests,Failed requests,Total transferred,HTML transferred,Requests per second,Time per request,Time per request concorrencia,Transfer rate
1, 10000,0,7220000,4790000,277.53,360.323,3.603,195.68
2, 10000,0,7220000,4790000,287.70,347.582,3.476,202.85
3, 10000,0,7220000,4790000,282.55,353.917,3.539,199.22
4, 10000,0,7220000,4790000,287.39,347.957,3.480,202.63
5, 10000,0,7220000,4790000,277.89,359.859,3.599,195.93
6, 10000,0,7220000,4790000,279.27,358.076,3.581,196.91
7, 10000,0,7220000,4790000,287.54,347.779,3.478,202.74
8, 10000,0,7220000,4790000,287.27,348.099,3.481,202.55
9, 10000,0,7220000,4790000,287.31,348.052,3.481,202.58
10, 10000,0,7220000,4790000,286.07,349.568,3.496,201.70
11, 10000,0,7220000,4790000,288.63,346.459,3.465,203.51
12, 10000,0,7220000,4790000,287.55,347.764,3.478,202.75
13, 10000,0,7220000,4790000,301.88,331.263,3.313,212.85
14, 10000,0,7220000,4790000,286.98,348.451,3.485,202.35
15, 10000,0,7220000,4790000,285.75,349.951,3.500,201.48
16, 10000,0,7220000,4790000,296.00,337.836,3.378,208.70
17, 10000,0,7220000,4790000,296.88,336.831,3.368,209.33
18, 10000,0,7220000,4790000,290.73,343.964,3.440,204.99
19, 10000,0,7220000,4790000,290.93,343.726,3.437,205.13
20, 10000,0,7220000,4790000,296.71,337.027,3.370,209.21
21, 10000,0,7220000,4790000,286.96,348.480,3.485,202.33
22, 10000,0,7220000,4790000,289.26,345.714,3.457,203.95
23, 10000,0,7220000,4790000,279.63,357.610,3.576,197.16
24, 10000,0,7220000,4790000,286.60,348.921,3.489,202.07
25, 10000,0,7220000,4790000,288.00,347.217,3.472,203.07
26, 10000,0,7220000,4790000,293.12,341.155,3.412,206.67
27, 10000,0,7220000,4790000,291.94,342.540,3.425,205.84
28, 10000,0,7220000,4790000,295.44,338.481,3.385,208.31
29, 10000,0,7220000,4790000,294.10,340.025,3.400,207.36
30, 10000,0,7220000,4790000,298.57,334.928,3.349,210.52
