Execucao,Complete requests,Failed requests,Total transferred,HTML transferred,Requests per second,Time per request,Time per request concorrencia,Transfer rate
1, 10000,46,7290386,4783652,230.15,434.497,4.345,163.86
2, 10000,59,7287669,4781858,255.19,391.864,3.919,181.62
3, 10000,15,7296865,4787930,256.98,389.136,3.891,183.12
4, 10000,0,7300000,4790000,259.93,384.724,3.847,185.30
5, 10000,39,7291849,4784618,256.16,390.375,3.904,182.41
6, 10000,8,7298328,4788896,257.94,387.683,3.877,183.84
7, 10000,4,7299164,4789448,248.27,402.783,4.028,176.97
8, 10000,14,7297074,4788068,251.41,397.762,3.978,179.15
9, 10000,13,7297283,4788206,240.17,416.374,4.164,171.15
10, 10000,13,7297283,4788206,248.13,403.013,4.030,176.82
11, 10000,10,7297910,4788620,240.67,415.503,4.155,171.52
12, 10000,17,7296447,4787654,243.01,411.506,4.115,173.16
13, 10000,19,7296029,4787378,248.90,401.764,4.018,177.34
14, 10000,9,7298119,4788758,240.09,416.514,4.165,171.11
15, 10000,2,7299582,4789724,242.51,412.346,4.123,172.88
16, 10000,7,7298537,4789034,237.77,420.574,4.206,169.47
17, 10000,10,7297910,4788620,249.98,400.029,4.000,178.16
18, 10000,28,7294148,4786136,253.76,394.077,3.941,180.76
19, 10000,7,7298537,4789034,257.55,388.269,3.883,183.57
20, 10000,14,7297074,4788068,255.95,390.706,3.907,182.39
21, 10000,0,7300000,4790000,259.62,385.185,3.852,185.08
22, 10000,1,7299791,4789862,258.76,386.456,3.865,184.46
23, 10000,11,7297701,4788482,259.71,385.049,3.850,185.08
24, 10000,0,7300000,4790000,256.11,390.461,3.905,182.58
25, 10000,2,7299582,4789724,260.78,383.459,3.835,185.90
26, 10000,5,7298955,4789310,259.30,385.654,3.857,184.83
27, 10000,0,7300000,4790000,258.85,386.327,3.863,184.53
28, 10000,15,7296865,4787930,257.95,387.666,3.877,183.81
29, 10000,5,7298955,4789310,256.14,390.404,3.904,182.58
30, 10000,6,7298746,4789172,261.57,382.314,3.823,186.44
